['id', 'fullName', 'teamName', 'assists', 'goals', 'pim', 'shots', 'games', 'powerPlayGoals', 'powerPlayPoints', 'penaltyMinutes', 'shotPct', 'gameWinningGoals', 'overTimeGoals', 'shortHandedGoals', 'shortHandedPoints', 'plusMinus', 'points']
[8446434, 'Gary Doak', 'Vancouver Canucks', 10, 2, 112, 60, 77, 0, 0, '112', 3.33, 0, 0, 0, 1, -3, 12]
[8446670, 'Murray Hall', 'Vancouver Canucks', 38, 21, 22, 127, 77, 5, 17, '22', 16.54, 1, 0, 0, 0, -17, 59]
[8446698, 'Jim Hargreaves', 'Vancouver Canucks', 1, 0, 33, 2, 7, 0, 1, '33', 0.0, 0, 0, 0, 0, -3, 1]
[8446747, 'Ed Hatoum', 'Vancouver Canucks', 3, 1, 21, 27, 26, 0, 2, '21', 3.7, 0, 0, 1, 1, -14, 4]
[8447094, 'Danny Johnson', 'Vancouver Canucks', 11, 15, 16, 76, 66, 1, 1, '16', 19.74, 2, 0, 0, 0, -14, 26]
[8447252, 'Orland Kurtenbach', 'Vancouver Canucks', 32, 21, 84, 129, 52, 8, 17, '84', 16.28, 4, 0, 1, 1, -3, 53]
[8447527, 'Len Lunde', 'Vancouver Canucks', 3, 1, 2, 20, 20, 0, 1, '2', 5.0, 0, 0, 1, 1, -3, 4]
[8447592, 'Wayne Maki', 'Vancouver Canucks', 38, 25, 99, 184, 78, 8, 17, '99', 13.59, 2, 0, 0, 0, -14, 63]
[8448079, 'Rosaire Paiement', 'Vancouver Canucks', 28, 34, 152, 248, 78, 4, 11, '152', 13.71, 4, 0, 1, 1, 13, 62]
[8448178, 'Poul Popiel', 'Vancouver Canucks', 22, 10, 61, 136, 78, 2, 5, '61', 7.35, 2, 0, 0, 0, 9, 32]
[8448240, 'Pat Quinn', 'Vancouver Canucks', 11, 2, 149, 76, 76, 0, 0, '149', 2.63, 0, 0, 0, 2, 1, 13]
[8448259, 'Marc Reaume', 'Vancouver Canucks', 2, 0, 4, 19, 27, 0, 0, '4', 0.0, 0, 0, 0, 0, -6, 2]
[8448348, 'Garth Rizzuto', 'Vancouver Canucks', 4, 3, 16, 33, 37, 1, 1, '16', 9.09, 0, 0, 0, 1, -16, 7]
[8448950, 'Dan Seguin', 'Vancouver Canucks', 6, 1, 50, 21, 36, 0, 1, '50', 4.76, 0, 0, 0, 0, -8, 7]
[8449055, 'Darryl Sly', 'Vancouver Canucks', 2, 0, 10, 13, 31, 0, 0, '10', 0.0, 0, 0, 0, 0, -1, 2]
[8449191, 'Ralph Stewart', 'Vancouver Canucks', 1, 0, 0, 2, 3, 0, 1, '0', 0.0, 0, 0, 0, 0, -2, 1]
[8449473, 'Barry Wilkins', 'Vancouver Canucks', 18, 5, 131, 84, 70, 1, 6, '131', 5.95, 1, 0, 0, 0, -18, 23]
[8449594, 'Jim Wiste', 'Vancouver Canucks', 2, 1, 0, 9, 23, 0, 2, '0', 11.11, 0, 0, 0, 0, -8, 3]
[8449667, 'Howie Young', 'Vancouver Canucks', 2, 0, 25, 18, 11, 0, 2, '25', 0.0, 0, 0, 0, 0, -7, 2]
[8451169, 'John Schella', 'Vancouver Canucks', 5, 0, 58, 29, 38, 0, 0, '58', 0.0, 0, 0, 0, 0, -6, 5]
[8451204, 'Bobby Schmautz', 'Vancouver Canucks', 5, 5, 14, 64, 26, 0, 1, '14', 7.81, 0, 0, 0, 0, 0, 10]
[8451853, 'Dale Tallon', 'Vancouver Canucks', 42, 14, 58, 232, 78, 5, 17, '58', 6.03, 1, 0, 0, 0, -25, 56]
[8451870, 'Ted Taylor', 'Vancouver Canucks', 16, 11, 53, 83, 56, 1, 3, '53', 13.25, 1, 0, 0, 0, -9, 27]
[8444934, 'Paul Andrea', 'California Golden Seals', 21, 12, 6, 113, 56, 3, 17, '6', 10.62, 3, 0, 0, 0, -21, 33]
[8445139, 'Barry Boughner', 'California Golden Seals', 0, 0, 9, 7, 16, 0, 0, '9', 0.0, 0, 0, 0, 0, -3, 0]
[8446142, 'Gerry Ehman', 'California Golden Seals', 18, 18, 16, 154, 78, 1, 7, '16', 11.69, 3, 0, 0, 0, -41, 36]
[8446196, 'Tony Featherstone', 'California Golden Seals', 8, 8, 44, 90, 67, 1, 2, '44', 8.89, 1, 0, 0, 0, -5, 16]
[8446253, 'Gary Croteau', 'California Golden Seals', 28, 15, 12, 182, 74, 2, 8, '12', 8.24, 1, 0, 0, 0, -23, 43]
[8446697, 'Joe Hardy', 'California Golden Seals', 10, 4, 31, 43, 40, 1, 3, '31', 9.3, 0, 0, 0, 0, -14, 14]
[8446814, 'Norm Ferguson', 'California Golden Seals', 17, 14, 9, 90, 54, 2, 5, '9', 15.56, 2, 0, 0, 0, -21, 31]
[8446856, 'Bill Hicke', 'California Golden Seals', 17, 18, 41, 138, 74, 4, 8, '41', 13.04, 1, 0, 0, 0, -30, 35]
[8446926, 'Harry Howell', 'California Golden Seals', 17, 3, 18, 84, 46, 1, 9, '18', 3.57, 0, 0, 0, 0, -19, 20]
[8447016, 'Earl Ingarfield', 'California Golden Seals', 8, 5, 4, 76, 49, 0, 0, '4', 6.58, 0, 0, 0, 0, -9, 13]
[8447048, 'Gary Jarrett', 'California Golden Seals', 19, 15, 40, 169, 75, 2, 5, '40', 8.88, 2, 0, 0, 0, -28, 34]
[8447338, 'Mike Laughton', 'California Golden Seals', 0, 1, 2, 22, 25, 1, 1, '2', 4.55, 0, 0, 0, 0, -12, 1]
[8447365, 'Hilliard Graves', 'California Golden Seals', 0, 0, 0, 6, 14, 0, 0, '0', 0.0, 0, 0, 0, 0, -2, 0]
[8447496, 'Ted Hampson', 'California Golden Seals', 26, 14, 18, 158, 78, 2, 7, '18', 8.86, 2, 0, 4, 5, -23, 40]
[8447639, 'Dick Mattiussi', 'California Golden Seals', 8, 3, 38, 72, 67, 1, 2, '38', 4.17, 1, 0, 0, 0, -32, 11]
[8447774, 'Dennis Hextall', 'California Golden Seals', 31, 21, 217, 153, 78, 1, 3, '217', 13.73, 3, 0, 0, 1, -21, 52]
[8447782, 'Ernie Hicke', 'California Golden Seals', 25, 22, 62, 202, 78, 7, 12, '62', 10.89, 1, 0, 0, 0, -36, 47]
[8447906, 'Wayne Muloin', 'California Golden Seals', 14, 0, 38, 72, 71, 0, 1, '38', 0.0, 0, 0, 0, 0, -36, 14]
[8448047, "Don O'Donoghue", 'California Golden Seals', 9, 11, 10, 63, 43, 3, 6, '10', 17.46, 0, 0, 1, 1, -20, 20]
[8448354, 'Doug Roberts', 'California Golden Seals', 13, 4, 94, 128, 78, 1, 2, '94', 3.13, 0, 0, 0, 0, -57, 17]
[8449206, 'Bert Marshall', 'California Golden Seals', 6, 2, 48, 54, 32, 1, 4, '48', 3.7, 0, 0, 0, 0, -19, 8]
[8449481, 'Tommy Williams', 'California Golden Seals', 23, 17, 24, 105, 59, 5, 8, '24', 16.19, 2, 0, 0, 0, -17, 40]
[8450737, 'Dick Redmond', 'California Golden Seals', 6, 2, 28, 46, 20, 1, 2, '28', 4.35, 0, 0, 0, 0, -9, 8]
[8451624, 'Ron Stackhouse', 'California Golden Seals', 24, 8, 73, 135, 78, 3, 11, '73', 5.93, 2, 0, 0, 0, -31, 32]
[8452140, 'Carol Vadnais', 'California Golden Seals', 16, 10, 91, 146, 42, 3, 9, '91', 6.85, 3, 0, 1, 1, -4, 26]
