id,fullName,teamName,assists,goals,pim,shots,games,powerPlayGoals,powerPlayPoints,penaltyMinutes,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,plusMinus,points
8446670,Murray Hall,Detroit Red Wings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8449132,Irv Spencer,Detroit Red Wings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8444952,Lou Angotti,New York Rangers,8,9,20,79,70,3,4,20,11.39,1,0,0,0,-22,17
8445160,John Brenneman,New York Rangers,3,4,8,38,39,0,0,8,10.53,1,0,0,0,-11,7
8445181,Arnie Brown,New York Rangers,11,1,145,66,58,0,2,145,1.52,0,0,0,0,-26,12
8445305,Larry Cahan,New York Rangers,5,0,32,33,26,0,4,32,0.0,0,0,0,0,-8,5
8445957,Dick Duff,New York Rangers,16,12,36,113,69,1,3,36,10.62,3,0,0,0,-13,28
8445958,Marc Dufour,New York Rangers,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
8446186,Trevor Fahey,New York Rangers,0,0,0,1,1,0,0,0,0.0,0,0,0,0,0,0
8446312,Sandy Fitzpatrick,New York Rangers,0,0,2,1,4,0,0,2,0.0,0,0,0,0,0,0
8446342,Val Fonteyne,New York Rangers,6,2,6,33,43,0,2,6,6.06,0,0,1,2,-2,8
8446623,Phil Goyette,New York Rangers,34,12,6,91,52,5,23,6,13.19,2,0,0,0,-13,46
8446658,Vic Hadfield,New York Rangers,20,18,102,169,70,6,12,102,10.65,1,0,0,0,-30,38
8446784,Camille Henry,New York Rangers,18,26,20,108,70,16,22,20,24.07,5,0,0,0,-10,44
8446856,Bill Hicke,New York Rangers,12,6,28,67,57,1,3,28,8.96,2,0,0,0,-23,18
8446865,Wayne Hillman,New York Rangers,8,1,34,31,41,0,3,34,3.23,0,0,0,1,-19,9
8446926,Harry Howell,New York Rangers,20,2,63,222,68,0,11,63,0.9,0,0,0,1,-13,22
8447016,Earl Ingarfield,New York Rangers,13,15,40,140,69,3,5,40,10.71,1,0,1,1,-26,28
8447019,Ron Ingram,New York Rangers,0,0,2,1,3,0,0,2,0.0,0,0,0,0,1,0
8447092,Don Johns,New York Rangers,1,0,4,12,22,0,0,4,0.0,0,0,0,0,-2,1
8447099,Jim Johnson,New York Rangers,0,0,0,2,1,0,0,0,0.0,0,0,0,0,0,0
8447172,Rod Gilbert,New York Rangers,36,25,54,238,70,10,24,54,10.5,3,0,0,0,-23,61
8447265,Gord Labossiere,New York Rangers,0,0,0,2,1,0,0,0,0.0,0,0,0,0,0,0
8447620,Donnie Marshall,New York Rangers,15,20,2,122,69,2,8,2,16.39,1,0,3,5,-11,35
8447807,Mike McMahon, Jr.,New York Rangers,0,0,0,1,1,0,0,0,0.0,0,0,0,0,-1,0
8447835,Dick Meissner,New York Rangers,0,0,0,2,1,0,0,0,0.0,0,0,0,0,0,0
8447858,Jim Mikol,New York Rangers,3,1,6,30,30,0,2,6,3.33,0,0,1,1,-13,4
8447996,Jim Neilson,New York Rangers,13,0,54,72,62,0,5,54,0.0,0,0,0,0,-37,13
8448001,Bob Nevin,New York Rangers,14,16,28,162,64,6,10,28,9.88,3,0,2,2,-19,30
8448121,Mel Pearson,New York Rangers,0,0,4,7,5,0,0,4,0.0,0,0,0,0,-2,0
8448156,Bob Plager,New York Rangers,0,0,18,18,10,0,0,18,0.0,0,0,0,0,-14,0
8448322,Dave Richardson,New York Rangers,1,0,2,1,7,0,0,2,0.0,0,0,0,0,0,1
8448371,Doug Robinson,New York Rangers,23,10,10,107,61,2,5,10,9.35,0,0,0,0,1,33
8448963,Rod Seiling,New York Rangers,22,4,44,114,68,1,13,44,3.51,0,0,0,0,-37,26
8449182,Ulf Sterner,New York Rangers,0,0,0,7,4,0,0,0,0.0,0,0,0,0,0,0
